Regions,group,RegionCode,Year,total_amount
Beijing,municipality,4,2013,4877.7
Tianjin,municipality,4,2013,930.8
Hebei,coastal,2,2013,809.3
Shanxi,interior,3,2013,295.9
Inner Mongolia,autonomous,1,2013,86.2
Liaoning,coastal,2,2013,848.5
Jilin,interior,3,2013,100.4
Heilongjiang,interior,3,2013,612.6
Shanghai,municipality,4,2013,2339.8
Jiangsu,coastal,2,2013,3458.8
Zhejiang,coastal,2,2013,1620
Anhui,interior,3,2013,1051
Fujian,coastal,2,2013,709.8
Jiangxi,interior,3,2013,437.9
Shandong,coastal,2,2013,3527.7
Henan,interior,3,2013,861.6
Hubei,interior,3,2013,946
Hunan,interior,3,2013,692.7
Guangdong,coastal,2,2013,7690.8
Guangxi,coastal,2,2013,250.4
Hainan,coastal,2,2013,70.1
Chongqing,municipality,4,2013,213.7
Sichuan,interior,3,2013,721
Guizhou,interior,3,2013,322.4
Yunnan,interior,3,2013,503.4
Tibet,autonomous,1,2013,19.9
Shaanxi,interior,3,2013,293.7
Gansu,interior,3,2013,127.5
Qinghai,interior,3,2013,23.8
Ningxia,autonomous,1,2013,32.1
Xinjiang,autonomous,1,2013,187.6
Beijing,municipality,4,2014,7563.9
Tianjin,municipality,4,2014,1400.6
Hebei,coastal,2,2014,1118.4
Shanxi,interior,3,2014,393
Inner Mongolia,autonomous,1,2014,214.6
Liaoning,coastal,2,2014,976.9
Jilin,interior,3,2014,250.1
Heilongjiang,interior,3,2014,644
Shanghai,municipality,4,2014,6633
Jiangsu,coastal,2,2014,4677.7
Zhejiang,coastal,2,2014,1770.4
Anhui,interior,3,2014,1377.1
Fujian,coastal,2,2014,768.9
Jiangxi,interior,3,2014,424.6
Shandong,coastal,2,2014,3660.5
Henan,interior,3,2014,1357.1
Hubei,interior,3,2014,1344.9
Hunan,interior,3,2014,1036
Guangdong,coastal,2,2014,8623.3
Guangxi,coastal,2,2014,393.3
Hainan,coastal,2,2014,198.4
Chongqing,municipality,4,2014,484.4
Sichuan,interior,3,2014,1120.6
Guizhou,interior,3,2014,436.8
Yunnan,interior,3,2014,402.2
Tibet,autonomous,1,2014,27.8
Shaanxi,interior,3,2014,472.8
Gansu,interior,3,2014,390.4
Qinghai,interior,3,2014,49.4
Ningxia,autonomous,1,2014,84
Xinjiang,autonomous,1,2014,386.4
Beijing,municipality,4,2015,9534.1
Tianjin,municipality,4,2015,2068.4
Hebei,coastal,2,2015,863.5
Shanxi,interior,3,2015,380.4
Inner Mongolia,autonomous,1,2015,910.7
Liaoning,coastal,2,2015,1107.6
Jilin,interior,3,2015,263.1
