date	Beijing	Tianjin	Hebei	Shanxi	InnerMongolia	Liaoning	Jilin	Heilongjiang	Shanghai	Jiangsu	Zhejiang	Anhui	Fujian	Jiangxi	Shandong	Henan	Hubei	Hunan	Guangdong	Guangxi	Hainan	Chongqing	Sichuan	Guizhou	Yunnan	Tibet	Shaanxi	Gansu	Qinghai	Ningxia	Xinjiang
2002	266	128	273	130	34	441	118	136	336	315	319	107	250	119	280	212	152	217	572	109	24	56	126	43	104	3	111	52	6	18	46
2003	398	145	289	149	75	292	147	226	432	611	451	184	318	169	627	226	381	265	950	229	40	177	424	83	166	9	197	122	20	33	118
2004	402	193	387	211	93	322	179	278	441	661	534	240	326	156	848	305	429	312	1188	285	47	181	523	98	206	7	258	120	20	31	119
2005	428	229	486	269	116	372	201	316	463	790	707	276	397	187	988	396	463	348	1486	330	69	189	609	109	241	9	314	125	29	32	126
2006	468	260	631	380	160	483	271	366	510	1027	977	337	516	285	1126	517	532	408	1831	374	117	220	690	142	275	16	395	152	37	42	155
2007	737	287	762	536	322	783	434	476	830	1757	1509	587	866	511	1256	956	706	690	3344	560	144	356	809	224	303	36	517	219	60	61	363
2008	980	485	1334	819	385	1138	520	620	1110	2084	2108	723	1379	610	1983	1283	1050	999	4554	734	216	598	1103	433	548	47	790	327	130	102	625
2009	1103	564	1842	1064	575	1595	726	912	1171	2765	2452	1069	1629	790	2769	2007	1469	1406	4860	1030	244	803	1635	573	844	53	995	535	154	141	634
2010	1218	648	2197	1250	747	1916	882	1127	1239	3306	2786	1392	1848	950	3332	2417	1902	1747	5324	1226	303	990	1998	751	1021	81	1295	655	188	175	819
2011	1379	719	2597	1405	854	2092	966	1206	1525	3685	3052	1585	2102	1088	3625	2582	2129	1936	6300	1353	338	1068	2229	840	1140	90	1429	700	208	207	882
2012	1458	793	3008	1589	965	2199	1062	1329	1606	3952	3221	1869	2280	1267	3866	2856	2309	2200	6627	1586	384	1195	2562	991	1321	101	1551	795	238	258	962
2013	1556	866	3389	1755	1093	2453	1163	1514	1683	4095	3330	2150	2402	1468	4329	3283	2491	2410	6992	1774	411	1293	2835	1146	1528	115	1689	894	274	283	1094
2014	1593	904	3603	1838	1142	2580	1243	1599	1716	4274	3458	2225	2471	1543	4634	3474	2625	2579	7286	1848	421	1357	3022	1222	1643	123	1745	951	289	295	1139
2015	1647	956	3731	1975	1259	2731	1313	1707	1773	4416	3596	2395	2648	1759	4789	3703	2723	2685	7768	2033	466	1445	3260	1346	1761	142	1886	1005	318	326	1262
2016	1690	999	3956	2035	1311	2741	1402	1835	1791	4513	3632	2721	2678	2035	5207	4110	3009	3013	8024	2213	470	1556	3575	1524	1892	149	1989	1101	320	339	1296
